# SERVED MODEL: claude-opus-5-5 — X.W12.u3 the full UIA-V disposition table (every `#### UIA-V-` row of audit/UI-AUDIT-value.md: 676 numbered + 3 held). Columns: id sev page owner bucket disposition. sha = cured by that commit; O-59 = glass relay X-ALL-BK-UI-AUDIT.md (other O-rows named); HONEST-RED <ID> / R-5 HOLD / VERDICT = standing honest-RED or measured verdict; SUPPLEMENT X-W12S = consumer residue routed row by row to the X-W12 supplement (§0bl). Built by build-disposition-u3.py.
UIA-V-17	BROKEN	dock-slug-edit-layer	CONSUMER	supplement	RESIDUE-U3 → SUPPLEMENT X-W12S
UIA-V-18	BROKEN	dock-mobile-menu	CONSUMER	sha	b4173137 [.u3]
UIA-V-19	BROKEN	dock-profile-menu	CONSUMER	supplement	RESIDUE-U3 → SUPPLEMENT X-W12S
UIA-V-20	BROKEN	dock-profile-menu	CONSUMER	supplement	RESIDUE-U3 → SUPPLEMENT X-W12S
UIA-V-21	BROKEN	dock-profile-menu	CONSUMER	supplement	RESIDUE-U3 → SUPPLEMENT X-W12S
UIA-V-22	BROKEN	dock-mbabb-menu	CONSUMER	sha	b4173137 [.u3]
UIA-V-23	BROKEN	dock-mbabb-menu	CONSUMER	supplement	RESIDUE-U3 → SUPPLEMENT X-W12S
UIA-V-24	BROKEN	palettes-view	GLASS+CONSUMER	O-row+sha	bed4ce3a+67c4f29a (consumer) · O-59 (glass: WatercolorDot no passthrough contract) [.u1]
UIA-V-25	BROKEN	palettes-view	CONSUMER	sha	67c4f29a [.u1]
UIA-V-26	BROKEN	palettes-view	CONSUMER	sha	2ff95e51 [.u1]
UIA-V-27	BROKEN	palettes-view	CONSUMER	sha	67c4f29a [.u1]
UIA-V-28	BROKEN	palette-scene-actions	CONSUMER	supplement	RESIDUE-U1 → SUPPLEMENT X-W12S [.u1]
UIA-V-29	BROKEN	palette-card-menu	GLASS+CONSUMER	O-row+supplement	O-59 + RESIDUE-U1 → SUPPLEMENT X-W12S [.u1]
UIA-V-30	BROKEN	browse-view	CONSUMER	supplement	RESIDUE-U1 → SUPPLEMENT X-W12S [.u1]
UIA-V-31	BROKEN	browse-view	CONSUMER	supplement	RESIDUE-U1 → SUPPLEMENT X-W12S [.u1]
UIA-V-32	BROKEN	browse-search-filter	GLASS+CONSUMER	O-row+supplement	O-59 + RESIDUE-U1 → SUPPLEMENT X-W12S [.u1]
UIA-V-33	BROKEN	browse-search-filter	CONSUMER	supplement	RESIDUE-U1 → SUPPLEMENT X-W12S [.u1]
UIA-V-34	BROKEN	tag-edit-popover	GLASS+CONSUMER	O-row+supplement	O-59 + RESIDUE-U1 → SUPPLEMENT X-W12S [.u1]
UIA-V-35	BROKEN	tag-edit-popover	CONSUMER	sha	2753482a [.u1]
UIA-V-36	BROKEN	version-history-drawer	CONSUMER	sha	c8c5a4aa [.u1]
UIA-V-37	BROKEN	version-history-drawer	CONSUMER	sha	a658d2c4 [.u1]
UIA-V-38	BROKEN	version-history-drawer	CONSUMER	supplement	RESIDUE-U1 → SUPPLEMENT X-W12S [.u1]
UIA-V-39	BROKEN	flag-report-dialog	CONSUMER	sha	360bd254 [.u1]
UIA-V-40	BROKEN	mix-view	CONSUMER	sha	e7f2e5e4 [.u2]
UIA-V-41	BROKEN	generate-view	CONSUMER	sha	b2548908+728b6d36 [.u2]
UIA-V-42	BROKEN	generate-view	CONSUMER	sha	c85ae287 [.u2]
UIA-V-43	BROKEN	generate-view	CONSUMER	sha	e7f2e5e4 (Mix half; palette-card half = .u1 67c4f29a) [.u2]
UIA-V-44	BROKEN	gradient-view	GLASS+CONSUMER	O-row+sha	b6efe950 (consumer) · O-59 (glass: SelectTrigger value span cannot shrink) [.u2]
UIA-V-45	BROKEN	gradient-view	CONSUMER	sha	82516588 [.u2]
UIA-V-46	BROKEN	atmosphere-view	GLASS	O-row	O-59 [.u2]
UIA-V-47	BROKEN	blob-view	GLASS+CONSUMER	O-row+supplement	O-59 (glass half) · RESIDUE-U3 → SUPPLEMENT X-W12S (consumer half)
UIA-V-48	BROKEN	blob-view	GLASS+CONSUMER	O-row+sha	dda1f85c (consumer) · O-68 BLOB-WAKE-SEAM (glass half) [.d]
UIA-V-49	BROKEN	admin-users	CONSUMER	sha	e585692e [.u3]
UIA-V-50	BROKEN	admin-names	GLASS	O-row	O-59
UIA-V-51	BROKEN	admin-names	CONSUMER	sha	6e7f215e [.u3]
UIA-V-52	BROKEN	admin-audit	CONSUMER	sha	c680a943 [.u3]
UIA-V-53	BROKEN	pane-plates	CONSUMER	sha	f2a7ab8f [.u3]
UIA-V-54	BROKEN	pointer-debug-overlay	GLASS+CONSUMER	O-row+sha	e3d459de (consumer: --z-max) · O-59 (glass: --z-debug rung absent) [.u3]
UIA-V-55	HIGH	app-ground-atmosphere	GLASS	O-row	O-59 · O-56 G-4 addendum [.a]
UIA-V-56	HIGH	app-ground-atmosphere	CONSUMER	sha	bbebe3f8+028c2462 [.a]
UIA-V-57	HIGH	app-ground-atmosphere	CONSUMER	sha	bbebe3f8 [.a]
UIA-V-58	HIGH	app-ground-atmosphere	CONSUMER	sha	e1aaee3e+7465354d (D1 one enter per region; D5 band anchor: the 47-48 px jump) [.b, mapped by .u3]
UIA-V-59	HIGH	app-ground-atmosphere	CONSUMER	supplement	RESIDUE-U3 → SUPPLEMENT X-W12S
UIA-V-60	HIGH	home-picker	GLASS+CONSUMER	O-row+supplement	O-59 (glass half) · RESIDUE-U3 → SUPPLEMENT X-W12S (consumer half)
UIA-V-61	HIGH	home-picker	CONSUMER	sha	82ba99e1 [.d]
UIA-V-62	HIGH	about-pane	CONSUMER	supplement	RESIDUE-U3 → SUPPLEMENT X-W12S
UIA-V-63	HIGH	about-pane	CONSUMER	supplement	RESIDUE-U3 → SUPPLEMENT X-W12S
UIA-V-64	HIGH	about-pane	CONSUMER	sha	38b35385+4b7639c0 [.c]
UIA-V-65	HIGH	about-pane	CONSUMER	supplement	RESIDUE-U3 → SUPPLEMENT X-W12S
UIA-V-66	HIGH	color-space-select	CONSUMER	sha	b98faac1 [.t]
UIA-V-67	HIGH	dock-main	GLASS	O-row+honest-RED/verdict	HONEST-RED DOCK-MORPH-ROOT (O-55/O-64) [.e]
UIA-V-68	HIGH	dock-main	GLASS	O-row+honest-RED/verdict	HONEST-RED DOCK-MORPH-ROOT (O-55/O-64) [.e]
UIA-V-69	HIGH	dock-main	CONSUMER	sha	038c795c [.e]
UIA-V-70	HIGH	dock-main	CONSUMER	supplement	RESIDUE-U3 → SUPPLEMENT X-W12S
UIA-V-71	HIGH	dock-main	CONSUMER	sha	b4173137 [.u3]
UIA-V-72	HIGH	dock-view-select	CONSUMER	supplement	RESIDUE-U3 → SUPPLEMENT X-W12S
UIA-V-73	HIGH	dock-view-select	CONSUMER	supplement	RESIDUE-U3 → SUPPLEMENT X-W12S
UIA-V-74	HIGH	dock-view-select	CONSUMER	supplement	RESIDUE-U3 → SUPPLEMENT X-W12S
UIA-V-75	HIGH	dock-action-bar-color	GLASS+CONSUMER	O-row+supplement	O-59 (glass half) · RESIDUE-U3 → SUPPLEMENT X-W12S (consumer half)
UIA-V-76	HIGH	dock-action-bar-color	GLASS+CONSUMER	O-row+supplement	O-59 (glass half) · RESIDUE-U3 → SUPPLEMENT X-W12S (consumer half)
UIA-V-77	HIGH	dock-color-input	CONSUMER	supplement	RESIDUE-U3 → SUPPLEMENT X-W12S
UIA-V-78	HIGH	dock-color-input	GLASS+CONSUMER	O-row+supplement	O-59 (glass half) · RESIDUE-U3 → SUPPLEMENT X-W12S (consumer half)
UIA-V-79	HIGH	dock-color-input	CONSUMER	supplement	RESIDUE-U3 → SUPPLEMENT X-W12S
UIA-V-80	HIGH	dock-color-input	CONSUMER	supplement	RESIDUE-U3 → SUPPLEMENT X-W12S
UIA-V-81	HIGH	dock-color-input	CONSUMER	supplement	RESIDUE-U3 → SUPPLEMENT X-W12S
UIA-V-82	HIGH	dock-color-input	CONSUMER	supplement	RESIDUE-U3 → SUPPLEMENT X-W12S
UIA-V-83	HIGH	dock-slug-edit-layer	CONSUMER	supplement	RESIDUE-U3 → SUPPLEMENT X-W12S
UIA-V-84	HIGH	dock-slug-edit-layer	CONSUMER	supplement	RESIDUE-U3 → SUPPLEMENT X-W12S
UIA-V-85	HIGH	dock-slug-edit-layer	GLASS	O-row	O-59
UIA-V-86	HIGH	dock-slug-edit-layer	CONSUMER	supplement	RESIDUE-U3 → SUPPLEMENT X-W12S
UIA-V-87	HIGH	dock-mobile-menu	CONSUMER	supplement	RESIDUE-U3 → SUPPLEMENT X-W12S
UIA-V-88	HIGH	dock-mobile-menu	GLASS+CONSUMER	O-row+supplement	O-59 (glass half) · RESIDUE-U3 → SUPPLEMENT X-W12S (consumer half)
UIA-V-89	HIGH	dock-mobile-menu	CONSUMER	supplement	RESIDUE-U3 → SUPPLEMENT X-W12S
UIA-V-90	HIGH	dock-profile-menu	CONSUMER	sha	038c795c [.e]
UIA-V-91	HIGH	dock-profile-menu	CONSUMER	supplement	RESIDUE-U3 → SUPPLEMENT X-W12S
UIA-V-92	HIGH	dock-profile-menu	GLASS+CONSUMER	O-row+supplement	O-59 (glass half) · RESIDUE-U3 → SUPPLEMENT X-W12S (consumer half)
UIA-V-93	HIGH	dock-profile-menu	CONSUMER	supplement	RESIDUE-U3 → SUPPLEMENT X-W12S
UIA-V-94	HIGH	dock-mbabb-menu	CONSUMER	sha	038c795c [.e]
UIA-V-95	HIGH	dock-mbabb-menu	CONSUMER	sha	038c795c [.e]
UIA-V-96	HIGH	palettes-view	CONSUMER	supplement	RESIDUE-U1 → SUPPLEMENT X-W12S [.u1]
UIA-V-97	HIGH	palettes-view	GLASS+CONSUMER	O-row+supplement	O-59 + RESIDUE-U1 → SUPPLEMENT X-W12S [.u1]
UIA-V-98	HIGH	palettes-view	CONSUMER	supplement	RESIDUE-U1 → SUPPLEMENT X-W12S [.u1]
UIA-V-99	HIGH	palettes-view	CONSUMER	supplement	RESIDUE-U1 → SUPPLEMENT X-W12S [.u1]
UIA-V-100	HIGH	palettes-view	CONSUMER	supplement	RESIDUE-U1 → SUPPLEMENT X-W12S [.u1]
UIA-V-101	HIGH	palettes-view	CONSUMER	supplement	RESIDUE-U1 → SUPPLEMENT X-W12S [.u1]
UIA-V-102	HIGH	palettes-view	CONSUMER	supplement	RESIDUE-U1 → SUPPLEMENT X-W12S [.u1]
UIA-V-103	HIGH	palettes-view	CONSUMER	sha	bed4ce3a+67c4f29a [.u1]
UIA-V-104	HIGH	palette-scene-actions	CONSUMER	supplement	RESIDUE-U1 → SUPPLEMENT X-W12S [.u1]
UIA-V-105	HIGH	palette-scene-actions	CONSUMER	supplement	RESIDUE-U1 → SUPPLEMENT X-W12S [.u1]
UIA-V-106	HIGH	palette-scene-actions	CONSUMER	supplement	RESIDUE-U1 → SUPPLEMENT X-W12S [.u1]
UIA-V-107	HIGH	palette-scene-actions	CONSUMER	supplement	RESIDUE-U1 → SUPPLEMENT X-W12S [.u1]
UIA-V-108	HIGH	palette-scene-actions	CONSUMER	supplement	RESIDUE-U1 → SUPPLEMENT X-W12S [.u1]
UIA-V-109	HIGH	palette-scene-actions	CONSUMER	supplement	RESIDUE-U1 → SUPPLEMENT X-W12S [.u1]
UIA-V-110	HIGH	palette-scene-actions	CONSUMER	supplement	RESIDUE-U1 → SUPPLEMENT X-W12S [.u1]
UIA-V-111	HIGH	palette-scene-actions	CONSUMER	supplement	RESIDUE-U1 → SUPPLEMENT X-W12S [.u1]
UIA-V-112	HIGH	palette-card-menu	GLASS+CONSUMER	O-row+supplement	O-59 + RESIDUE-U1 → SUPPLEMENT X-W12S [.u1]
UIA-V-113	HIGH	palette-card-menu	GLASS+CONSUMER	O-row+supplement	O-59 + RESIDUE-U1 → SUPPLEMENT X-W12S [.u1]
UIA-V-114	HIGH	palettes-delete-all-dialog	GLASS	O-row	O-59 [.u1]
UIA-V-115	HIGH	palettes-delete-all-dialog	GLASS	O-row	O-59 [.u1]
UIA-V-116	HIGH	browse-view	CONSUMER	supplement	RESIDUE-U1 → SUPPLEMENT X-W12S [.u1]
UIA-V-117	HIGH	browse-view	CONSUMER	supplement	RESIDUE-U1 → SUPPLEMENT X-W12S [.u1]
UIA-V-118	HIGH	browse-view	CONSUMER	supplement	RESIDUE-U1 → SUPPLEMENT X-W12S [.u1]
UIA-V-119	HIGH	browse-view	CONSUMER	supplement	RESIDUE-U1 → SUPPLEMENT X-W12S [.u1]
UIA-V-120	HIGH	browse-search-filter	CONSUMER	supplement	RESIDUE-U1 → SUPPLEMENT X-W12S [.u1]
UIA-V-121	HIGH	browse-search-filter	CONSUMER	supplement	RESIDUE-U1 → SUPPLEMENT X-W12S [.u1]
UIA-V-122	HIGH	browse-search-filter	CONSUMER	supplement	RESIDUE-U1 → SUPPLEMENT X-W12S [.u1]
UIA-V-123	HIGH	browse-search-filter	CONSUMER	supplement	RESIDUE-U1 → SUPPLEMENT X-W12S [.u1]
UIA-V-124	HIGH	tag-edit-popover	CONSUMER	supplement	RESIDUE-U1 → SUPPLEMENT X-W12S [.u1]
UIA-V-125	HIGH	tag-edit-popover	CONSUMER	supplement	RESIDUE-U1 → SUPPLEMENT X-W12S [.u1]
UIA-V-126	HIGH	version-history-drawer	CONSUMER	supplement	RESIDUE-U1 → SUPPLEMENT X-W12S [.u1]
UIA-V-127	HIGH	version-history-drawer	CONSUMER	supplement	RESIDUE-U1 → SUPPLEMENT X-W12S [.u1]
UIA-V-128	HIGH	version-history-drawer	CONSUMER	supplement	RESIDUE-U1 → SUPPLEMENT X-W12S [.u1]
UIA-V-129	HIGH	version-history-drawer	CONSUMER	supplement	RESIDUE-U1 → SUPPLEMENT X-W12S [.u1]
UIA-V-130	HIGH	flag-report-dialog	CONSUMER	sha	5e0be623 [.u1]
UIA-V-131	HIGH	flag-report-dialog	CONSUMER	supplement	RESIDUE-U1 → SUPPLEMENT X-W12S [.u1]
UIA-V-132	HIGH	migrate-palettes-dialog	CONSUMER	sha	5e0be623 [.u1]
UIA-V-133	HIGH	migrate-palettes-dialog	CONSUMER	supplement	RESIDUE-U1 → SUPPLEMENT X-W12S [.u1]
UIA-V-134	HIGH	extract-view	CONSUMER	supplement	RESIDUE-U2 → SUPPLEMENT X-W12S [.u2]
UIA-V-135	HIGH	extract-view	CONSUMER	supplement	RESIDUE-U2 → SUPPLEMENT X-W12S [.u2]
UIA-V-136	HIGH	mix-view	GLASS	O-row	O-59 [.u2]
UIA-V-137	HIGH	mix-view	CONSUMER	sha+supplement	c911941a (section heads) · RESIDUE-U2 → SUPPLEMENT X-W12S (LabeledField label rung: glass 7.0.0 exposes no label-size prop) [.u2]
UIA-V-138	HIGH	mix-view	CONSUMER	supplement	RESIDUE-U2 → SUPPLEMENT X-W12S [.u2]
UIA-V-139	HIGH	mix-view	GLASS	O-row	O-59 [.u2]
UIA-V-140	HIGH	mix-view	CONSUMER	honest-RED/verdict	R-5 HOLD (COHESION §0ci: glass stays 7.0.0 until X-W7L) [.u2]
UIA-V-141	HIGH	generate-view	CONSUMER	supplement	RESIDUE-U2 → SUPPLEMENT X-W12S [.u2]
UIA-V-142	HIGH	generate-view	CONSUMER	supplement	RESIDUE-U2 → SUPPLEMENT X-W12S [.u2]
UIA-V-143	HIGH	gradient-view	CONSUMER	supplement	RESIDUE-U2 → SUPPLEMENT X-W12S [.u2]
UIA-V-144	HIGH	gradient-view	GLASS+CONSUMER	O-row+supplement	O-59 + RESIDUE-U2 → SUPPLEMENT X-W12S [.u2]
UIA-V-145	HIGH	gradient-view	CONSUMER	sha	6a264f01 [.u2]
UIA-V-146	HIGH	gradient-view	CONSUMER	supplement	RESIDUE-U2 → SUPPLEMENT X-W12S [.u2]
UIA-V-147	HIGH	gradient-view	CONSUMER	sha	316c8058 [.u2]
UIA-V-148	HIGH	gradient-easing-authoring	GLASS+CONSUMER	O-row+supplement	O-59 + RESIDUE-U2 → SUPPLEMENT X-W12S [.u2]
UIA-V-149	HIGH	gradient-easing-authoring	GLASS+CONSUMER	O-row+supplement	O-59 + RESIDUE-U2 → SUPPLEMENT X-W12S [.u2]
UIA-V-150	HIGH	gradient-easing-authoring	CONSUMER	supplement	RESIDUE-U2 → SUPPLEMENT X-W12S [.u2]
UIA-V-151	HIGH	gradient-easing-authoring	GLASS+CONSUMER	O-row+supplement	O-59 + RESIDUE-U2 → SUPPLEMENT X-W12S [.u2]
UIA-V-152	HIGH	gradient-easing-authoring	GLASS+CONSUMER	O-row+supplement	O-59 + RESIDUE-U2 → SUPPLEMENT X-W12S [.u2]
UIA-V-153	HIGH	gradient-easing-authoring	GLASS+CONSUMER	O-row+supplement	O-59 + RESIDUE-U2 → SUPPLEMENT X-W12S [.u2]
UIA-V-154	HIGH	atmosphere-view	GLASS	O-row	O-59 [.u2]
UIA-V-155	HIGH	atmosphere-view	CONSUMER	supplement	RESIDUE-U2 → SUPPLEMENT X-W12S [.u2]
UIA-V-156	HIGH	atmosphere-view	CONSUMER	supplement	RESIDUE-U2 → SUPPLEMENT X-W12S [.u2]
UIA-V-157	HIGH	atmosphere-view	GLASS+CONSUMER	O-row+sha	9d27d6e9 (consumer) · O-59 (glass: 7.0.0 text-caption italic; PaneHeader caption) [.u2]
UIA-V-158	HIGH	atmosphere-view	CONSUMER	sha+supplement	c63fcab0 (readout) · RESIDUE-U2 → SUPPLEMENT X-W12S (spectrum slab variant: the o18 contrast-certified track recipe) [.u2]
UIA-V-159	HIGH	atmosphere-view	GLASS+CONSUMER	O-row+supplement	O-59 + RESIDUE-U2 → SUPPLEMENT X-W12S [.u2]
UIA-V-160	HIGH	blob-view	CONSUMER	supplement	RESIDUE-U3 → SUPPLEMENT X-W12S
UIA-V-161	HIGH	blob-view	CONSUMER	supplement	RESIDUE-U3 → SUPPLEMENT X-W12S
UIA-V-162	HIGH	blob-view	CONSUMER	supplement	RESIDUE-U3 → SUPPLEMENT X-W12S
UIA-V-163	HIGH	blob-view	CONSUMER	supplement	RESIDUE-U3 → SUPPLEMENT X-W12S
UIA-V-164	HIGH	blob-view	GLASS+CONSUMER	O-row+supplement	O-59 (glass half) · RESIDUE-U3 → SUPPLEMENT X-W12S (consumer half)
UIA-V-165	HIGH	admin-users	GLASS+CONSUMER	sha	d3ed6370 [.u1 G-2]
UIA-V-166	HIGH	admin-users	GLASS+CONSUMER	O-row+supplement	O-59 (glass half) · RESIDUE-U3 → SUPPLEMENT X-W12S (consumer half)
UIA-V-167	HIGH	admin-users	CONSUMER	sha	85a478f3 [.u3]
UIA-V-168	HIGH	admin-users	CONSUMER	sha	85a478f3 [.u3]
UIA-V-169	HIGH	admin-users	CONSUMER	supplement	RESIDUE-U3 → SUPPLEMENT X-W12S
UIA-V-170	HIGH	admin-users	CONSUMER	supplement	RESIDUE-U3 → SUPPLEMENT X-W12S
UIA-V-171	HIGH	admin-names	CONSUMER	sha	d3ed6370 [.u1 G-2]
UIA-V-172	HIGH	admin-names	CONSUMER	sha	426bf798 [.u3]
UIA-V-173	HIGH	admin-audit	CONSUMER	sha	2d3799d7 [.u3]
UIA-V-174	HIGH	admin-audit	GLASS+CONSUMER	O-row+supplement	O-59 (glass half) · RESIDUE-U3 → SUPPLEMENT X-W12S (consumer half)
UIA-V-175	HIGH	admin-flagged	CONSUMER	sha	d3ed6370 [.u1 G-2]
UIA-V-176	HIGH	admin-flagged	CONSUMER	sha	81ac55b5 [.u3]
UIA-V-177	HIGH	admin-flagged	CONSUMER	supplement	RESIDUE-U3 → SUPPLEMENT X-W12S
UIA-V-178	HIGH	admin-flagged	CONSUMER	supplement	RESIDUE-U3 → SUPPLEMENT X-W12S
UIA-V-179	HIGH	admin-tags	CONSUMER	O-row+honest-RED/verdict	HONEST-RED CHIP-STYLES-ORPHAN (glass 7.0.0 ./styles never imports styles/glass/glass-chip.css — the glass-chip.css orphan already reported as O-20 SC-1; the removable Chip renders an 8px unstyled remove button, measured); consumer keeps its chip until the repin (X-W7L) [.u3]
UIA-V-180	HIGH	admin-tags	GLASS+CONSUMER	O-row+sha	bd0af74d (consumer) · O-59 (glass: Chip nowrap/truncate) [.u3]
UIA-V-181	HIGH	admin-tags	CONSUMER	sha	426bf798 [.u3]
UIA-V-182	HIGH	admin-tags	CONSUMER	sha	bd0af74d [.u3]
UIA-V-183	HIGH	not-found	CONSUMER	sha	b6f90b5c [.u3]
UIA-V-184	HIGH	pane-plates	CONSUMER	sha	2480c047 [.u3]
UIA-V-185	HIGH	pane-plates	CONSUMER	supplement	RESIDUE-U3 → SUPPLEMENT X-W12S
UIA-V-186	MEDIUM	app-ground-atmosphere	GLASS+CONSUMER	O-row+honest-RED/verdict	HONEST-RED A-DARK-BAND (design ruling owed on X-W6 i2's shipped band) · O-59 (glass half) [.a]
UIA-V-187	MEDIUM	app-ground-atmosphere	CONSUMER	sha	1a696ca6 (D2-D4: the opening breath on one clock, once; no KeepAlive-return replay of plate-land/blob-emerge) [.b, mapped by .u3]
UIA-V-188	MEDIUM	app-ground-atmosphere	CONSUMER	supplement	SUPPLEMENT X-W12S (glass <Aurora> remount; .a sizing cured) [.a→u3]
UIA-V-189	MEDIUM	app-ground-atmosphere	CONSUMER	sha	2480c047 (the region fallback on the resting Card; no square UA outline — the row is V-184+V-455 seen from the ground) [.u3]
UIA-V-190	MEDIUM	app-ground-atmosphere	CONSUMER	supplement	RESIDUE-U3 → SUPPLEMENT X-W12S
UIA-V-191	MEDIUM	app-ground-atmosphere	CONSUMER	sha	028c2462 [.a]
UIA-V-192	MEDIUM	app-ground-atmosphere	GLASS+CONSUMER	O-row+sha	consumer half gone with UIA-V-1 (9711abdb) · O-56 G-4 addendum (glass) [.a]
UIA-V-193	MEDIUM	home-picker	CONSUMER	supplement	RESIDUE-U3 → SUPPLEMENT X-W12S
UIA-V-194	MEDIUM	home-picker	GLASS+CONSUMER	O-row+supplement	O-59 (glass half) · RESIDUE-U3 → SUPPLEMENT X-W12S (consumer half)
UIA-V-195	MEDIUM	home-picker	CONSUMER	supplement	RESIDUE-U3 → SUPPLEMENT X-W12S
UIA-V-196	MEDIUM	home-picker	CONSUMER	supplement	RESIDUE-U3 → SUPPLEMENT X-W12S
UIA-V-197	MEDIUM	home-picker	CONSUMER	supplement	RESIDUE-U3 → SUPPLEMENT X-W12S
UIA-V-198	MEDIUM	home-picker	GLASS+CONSUMER	O-row+supplement	O-59 (glass half) · RESIDUE-U3 → SUPPLEMENT X-W12S (consumer half)
UIA-V-199	MEDIUM	home-picker	GLASS+CONSUMER	O-row+sha	82ba99e1 (consumer) · O-56 G-3 (glass matte) [.d]
UIA-V-200	MEDIUM	home-picker	GLASS+CONSUMER	O-row+supplement	O-59 (glass half) · RESIDUE-U3 → SUPPLEMENT X-W12S (consumer half)
UIA-V-201	MEDIUM	home-picker	GLASS+CONSUMER	O-row+supplement	O-59 (glass half) · RESIDUE-U3 → SUPPLEMENT X-W12S (consumer half)
UIA-V-202	MEDIUM	about-pane	CONSUMER	O-row+honest-RED/verdict	O-59 (adopt via repin; R-5 HOLD) [.c]
UIA-V-203	MEDIUM	about-pane	CONSUMER	supplement	RESIDUE-U3 → SUPPLEMENT X-W12S
UIA-V-204	MEDIUM	about-pane	CONSUMER	supplement	RESIDUE-U3 → SUPPLEMENT X-W12S
UIA-V-205	MEDIUM	about-pane	CONSUMER	supplement	RESIDUE-U3 → SUPPLEMENT X-W12S
UIA-V-206	MEDIUM	about-pane	CONSUMER	sha	b1bc7b52 [.c]
UIA-V-207	MEDIUM	about-pane	CONSUMER	supplement	RESIDUE-U3 → SUPPLEMENT X-W12S
UIA-V-208	MEDIUM	about-pane	GLASS	O-row	O-59 [.c]
UIA-V-209	MEDIUM	about-pane	GLASS	O-row	O-59 (cured at glass HEAD; adopt via repin) [.c]
UIA-V-210	MEDIUM	about-pane	CONSUMER	supplement	RESIDUE-U3 → SUPPLEMENT X-W12S
UIA-V-211	MEDIUM	color-space-select	CONSUMER	sha	83d1c61f [.t]
UIA-V-212	MEDIUM	color-space-select	CONSUMER	sha	b98faac1 [.t]
UIA-V-213	MEDIUM	color-space-select	GLASS	O-row	O-59
UIA-V-214	MEDIUM	color-space-select	GLASS+CONSUMER	O-row+honest-RED/verdict+sha	HONEST-RED TEXT-TRIGGER-ROOT (O-66, f4ba97e9) [.t]
UIA-V-215	MEDIUM	dock-main	CONSUMER	supplement	RESIDUE-U3 → SUPPLEMENT X-W12S
UIA-V-216	MEDIUM	dock-main	CONSUMER	supplement	RESIDUE-U3 → SUPPLEMENT X-W12S
UIA-V-217	MEDIUM	dock-main	CONSUMER	supplement	RESIDUE-U3 → SUPPLEMENT X-W12S
UIA-V-218	MEDIUM	dock-main	CONSUMER	supplement	RESIDUE-U3 → SUPPLEMENT X-W12S
UIA-V-219	MEDIUM	dock-main	GLASS+CONSUMER	O-row+supplement	O-59 (glass half) · RESIDUE-U3 → SUPPLEMENT X-W12S (consumer half)
UIA-V-220	MEDIUM	dock-main	GLASS+CONSUMER	O-row+supplement	O-59 (glass half) · RESIDUE-U3 → SUPPLEMENT X-W12S (consumer half)
UIA-V-221	MEDIUM	dock-view-select	GLASS	O-row	O-59
UIA-V-222	MEDIUM	dock-view-select	GLASS	O-row	O-59
UIA-V-223	MEDIUM	dock-view-select	CONSUMER	supplement	RESIDUE-U3 → SUPPLEMENT X-W12S
