# SERVED MODEL: claude-opus-5-5 — X.W12U.s2 disposition slice (131 supplement rows, .s2 pages). Built by build-s2.py.
id	sev	page	owner	s2_disposition	evidence_or_route	title
UIA-V-102	HIGH	palettes-view	CONSUMER	HONEST-RED W12U-S2-CARRY → .m	open at HEAD; not cured in .s2 (routed by class)	390: the Palettes route opens on the picker; the whole palettes pane is below the fold
UIA-V-112	HIGH	palette-card-menu	GLASS+CONSUMER	CURED b5d67459	W12U-evidence/s2/probe-card-menu HEAD RED → GREEN light+dark · glass half O-59 (relayed)	Coarse-pointer menu text grows to 21px inside a fixed 192px menu, so rows wrap and icons get squeezed
UIA-V-113	HIGH	palette-card-menu	GLASS+CONSUMER	CURED b5d67459	W12U-evidence/s2/probe-card-menu (inline export at coarse/narrow) HEAD RED → GREEN light+dark · glass half O-59 (relayed)	At 390 the Export submenu lands on top of its parent menu, and overlays touch the viewport edge
UIA-V-116	HIGH	browse-view	CONSUMER	HONEST-RED W12U-S2-CARRY → .m	open at HEAD; not cured in .s2 (routed by class)	The whole pane group re-centres vertically on every state change, and a long wall scrolls the page instead of the pane
UIA-V-117	HIGH	browse-view	CONSUMER	HONEST-RED W12U-S2-CARRY → .k	open at HEAD; not cured in .s2 (routed by class)	After selection, the palette's verbs are out of sight: the 1440 dock collapses to a 56px dot, and when opened it shows only a name chip (390 shows the icons)
UIA-V-118	HIGH	browse-view	CONSUMER	CURED 4aea64c1	W12U-evidence/s2/probe-filter-trigger HEAD RED → GREEN light+dark	The filters trigger is a kebab ⋮ capsule that is taller than the search bar and sticks out of it
UIA-V-119	HIGH	browse-view	CONSUMER	HONEST-RED W12U-S2-CARRY → .k	open at HEAD; not cured in .s2 (routed by class)	Dock collapses to a dot without any card selection
UIA-V-120	HIGH	browse-search-filter	CONSUMER	CURED-AT-HEAD	s2/probe-filter-trigger HEAD arm — the count badge paints whole (clipped:false) on HEAD and after	The active-filter count badge is clipped by its own trigger and reads as a sliver
UIA-V-121	HIGH	browse-search-filter	CONSUMER	HONEST-RED W12U-S2-CARRY → .h	open at HEAD; not cured in .s2 (routed by class)	No active-filter chips: filter state is hidden behind a kebab, with no one-click removal
UIA-V-122	HIGH	browse-search-filter	CONSUMER	CURED 376b02ce	W12U-evidence/s2/probe-no-match HEAD RED → GREEN light+dark	The no-results state says 'No palettes published yet.' and offers no way out
UIA-V-123	HIGH	browse-search-filter	CONSUMER	HONEST-RED W12U-S2-CARRY → .k	open at HEAD; not cured in .s2 (routed by class)	The Find-by-Color block holds two Search buttons, two swatches and a nested popover over its parent
UIA-V-124	HIGH	tag-edit-popover	CONSUMER	CURED f4bd4fd9	W12U-evidence/s2/probe-tag-catalog HEAD RED → GREEN light+dark	An unreachable tag catalog is shown as 'No tags available.' and nothing reports the failure
UIA-V-125	HIGH	tag-edit-popover	CONSUMER	CURED b9cc5273	W12U-evidence/s2/probe-tag-chooser HEAD RED → GREEN light+dark · also A2-VA-L1 (no row; one chooser, two hosts)	Hand-rolled tag checklist, duplicated with a different style in the search filter
UIA-V-126	HIGH	version-history-drawer	CONSUMER	CURED e42b3585	W12U-evidence/s2/probe-versions revert HEAD RED → GREEN light+dark	After a restore the list is stale: still '4 versions', no new revision, nothing marked current
UIA-V-127	HIGH	version-history-drawer	CONSUMER	CURED e42b3585	W12U-evidence/s2/probe-versions empty HEAD RED → GREEN light+dark	No empty state, and a fetch failure looks exactly like an empty history
UIA-V-128	HIGH	version-history-drawer	CONSUMER	CURED e42b3585	W12U-evidence/s2/probe-versions focus HEAD RED → GREEN light+dark	Revert buttons take keyboard focus while fully transparent
UIA-V-129	HIGH	version-history-drawer	CONSUMER	CURED e42b3585	W12U-evidence/s2/probe-versions (action on the header line) HEAD RED → GREEN light+dark	Row wastes about a third of its height on an invisible button and has no dominant element
UIA-V-131	HIGH	flag-report-dialog	CONSUMER	CURED b37f115f	W12U-evidence/s2/probe-flag-dialog HEAD RED → GREEN light+dark · also A2-VA-X-10 (landscape fit via DialogContent scroll)	Hand-rolled textarea: 4px corner, opaque ground (pure black in dark), heavy ad-hoc ring; the glass Textarea is not used
UIA-V-133	HIGH	migrate-palettes-dialog	CONSUMER	CURED b906c56e	W12U-evidence/s2/probe-migrate HEAD RED → GREEN light+dark	When the migration fails, the dialog closes and the dock collapses with no error on screen: the failure only appears in a menu the user has to reopen
UIA-V-273	MEDIUM	palettes-view	CONSUMER	HONEST-RED W12U-S2-CARRY → .k	open at HEAD; not cured in .s2 (routed by class)	Store-recovery notice is permanent, undismissable, and in a debug register; the empty state below contradicts it
UIA-V-274	MEDIUM	palettes-view	CONSUMER	HONEST-RED W12U-S2-CARRY → .k	open at HEAD; not cured in .s2 (routed by class)	Offline: two identical 'BACKEND OFFLINE — SAVED LOCALLY' chips (two live regions); the chip is hand-rolled
UIA-V-275	MEDIUM	palettes-view	CONSUMER	HONEST-RED W12U-S2-CARRY → .k	open at HEAD; not cured in .s2 (routed by class)	The same ~180-character hand-rolled icon-button class string is copied 9 times across 3 files
UIA-V-276	MEDIUM	palettes-view	CONSUMER	CURED e88848d9	W12U-evidence/s2/probe-editor-names HEAD RED → GREEN light+dark	Per-instance overrides on glass Buttons: save check measures 32×40 (a capsule, not a circle); Update/Cancel are 24px italic serif
UIA-V-277	MEDIUM	palettes-view	CONSUMER	HONEST-RED W12U-S2-CARRY → .m	open at HEAD; not cured in .s2 (routed by class)	Stage jumps 48px vertically when the list length changes (search, empty, recovery)
UIA-V-278	MEDIUM	palettes-view	CONSUMER	DEDUPE A2-VA-L3-5 + A2-VA-L3-2 → .h	orphan delete-all row → header actions seat; the hidden-by-search half CURED c7e0b1b4 (the dialog names the hidden count)	Orphan toolbar row: a lone 24px trash ghost with dead band; Delete-all stays live while a search hides palettes
UIA-V-279	MEDIUM	palettes-view	CONSUMER	HONEST-RED W12U-S2-CARRY → .h	open at HEAD; not cured in .s2 (routed by class)	Search sits above the Current Palette editor but filters only the saved list below it
UIA-V-280	MEDIUM	palettes-view	CONSUMER	HONEST-RED W12U-S2-CARRY → .k	open at HEAD; not cured in .s2 (routed by class)	Dock collapses to an orb on ANY pane interaction (menu open, rename), not just selection
UIA-V-287	MEDIUM	palette-card-menu	GLASS+CONSUMER	HONEST-RED W12U-S2-CARRY → .m	open at HEAD; not cured in .s2 (routed by class) · glass half O-59 (relayed)	Tags popover at 390 is flush against the right viewport edge
UIA-V-288	MEDIUM	palette-card-menu	CONSUMER	CURED b5d67459	W12U-evidence/s2/probe-card-menu (count = shortcut; no text-caption) HEAD RED → GREEN light+dark	Export submenu and the Versions count render in ITALIC mono
UIA-V-289	MEDIUM	palette-card-menu	CONSUMER	CURED b5d67459	W12U-evidence/s2/probe-card-menu (no header; shortcut annotations; default Admin label) HEAD RED → GREEN light+dark	The menu mixes four type registers, and the mono pin is a consumer override
UIA-V-290	MEDIUM	palette-card-menu	CONSUMER	HONEST-RED W12U-S2-CARRY → .k	open at HEAD; not cured in .s2 (routed by class)	Tag chips and the +N control are hand-rolled pills, not the glass Chip, and +N is an 18px touch target
UIA-V-291	MEDIUM	palette-card-menu	CONSUMER	HONEST-RED W12U-S2-CARRY → .h	open at HEAD; not cured in .s2 (routed by class)	No tag chip ever renders in the served layouts: every card shows only an opaque '+6'
UIA-V-292	MEDIUM	palette-card-menu	GLASS+CONSUMER	CURED 30035f7b	W12U-evidence/s2/probe-card-head (name leads; meta on its own row) HEAD RED → GREEN light+dark · also A2-VA-L3-8 · glass half O-59 (relayed)	Card row hierarchy: the palette name truncates while the meta cluster and a 54px trigger keep their width
UIA-V-293	MEDIUM	palette-card-menu	GLASS+CONSUMER	HONEST-RED W12U-S2-CARRY → .m	open at HEAD; not cured in .s2 (routed by class) · glass half O-59 (relayed)	At 390 an upward-flipped card menu covers the app dock
UIA-V-294	MEDIUM	palettes-delete-all-dialog	CONSUMER	DEDUPE A2-VA-L3-2 → .h	delete-all trigger → pane header trailing actions (10.1.0 #actions)	Delete-all trigger occupies its own toolbar row, detached from the header count and from the list it acts on
UIA-V-295	MEDIUM	palettes-delete-all-dialog	CONSUMER	DEDUPE A2-VA-L3-6 → HELD for glass §11 (.h)	dialog title voice; T.W4-6 display-voice ruling + O-10d census stand	Dialog title renders in Plus Jakarta Sans while every other heading on the page uses the app's Fraunces display voice
UIA-V-298	MEDIUM	palettes-delete-all-dialog	CONSUMER	CURED-AT-HEAD	source: package.json pins @mkbabb/glass-ui 10.1.0 (X-W7L c8a4959d); the three upstream-fixed defects this row names ride that pin	The consumer is two or more glass majors behind, and three of this page's defects are already fixed upstream
UIA-V-299	MEDIUM	browse-view	GLASS+CONSUMER	HONEST-RED W12U-S2-CARRY → .h	the Filters trigger no longer overhangs (4aea64c1); the 54 px search bar / 21 px text at 390 remain · glass half O-59 (relayed)	390 inverts the hierarchy: controls grow past the content (54px search bar with 21px text, 54×54 card menu, 281×54 'More' button) while the pane title stays at 25.9px
UIA-V-300	MEDIUM	browse-view	CONSUMER	HONEST-RED W12U-S2-CARRY → .k	open at HEAD; not cured in .s2 (routed by class)	Search field radius does not match the canon and nests two radius systems (16px bar around a stadium button)
UIA-V-301	MEDIUM	browse-view	CONSUMER	HONEST-RED W12U-S2-CARRY → .k	the filter popover's hand-rolled atoms are gone (e88fbc69, b9cc5273); the card row's +N/vote atoms remain	Hand-rolled atoms in the card row and filter popover instead of glass primitives
UIA-V-302	MEDIUM	browse-view	CONSUMER	HONEST-RED W12U-S2-CARRY → .h	open at HEAD; not cured in .s2 (routed by class)	Tags are never visible at this pane's widths: every card shows a bare '+N' counter, even for a single tag
UIA-V-303	MEDIUM	browse-view	CONSUMER	HONEST-RED W12U-S2-CARRY → .h	open at HEAD; not cured in .s2 (routed by class)	Selected state has no selection register, and the unfurled detail repeats the strip
UIA-V-304	MEDIUM	browse-view	CONSUMER	HONEST-RED W12U-S2-CARRY → .k	open at HEAD; not cured in .s2 (routed by class)	The same verbs have three homes: card ⋯ menu, inline vote, and the dock palette scene
UIA-V-305	MEDIUM	browse-view	CONSUMER	CURED 994f558e	W12U-evidence/s2/probe-browse-error HEAD RED → GREEN light+dark	The error state says 'offline' three times, and 'working locally' is not true for the public wall
UIA-V-306	MEDIUM	browse-view	GLASS+CONSUMER	CURED e88fbc69	W12U-evidence/s2/probe-filter-fit + filter-1440-light frame HEAD RED → GREEN light+dark · glass half O-59 (relayed)	The filter popover is sparse and mixes species: 57px rows for one-line radios, radio dot plus icon glyphs, truncated hex field
UIA-V-307	MEDIUM	browse-view	CONSUMER	HONEST-RED W12U-S2-CARRY → .h	open at HEAD; not cured in .s2 (routed by class)	Hover state is effectively invisible on a cursor-pointer card
UIA-V-308	MEDIUM	browse-search-filter	CONSUMER	HONEST-RED W12U-S2-CARRY → .k	open at HEAD; not cured in .s2 (routed by class)	MiniColorPicker is a hand-rolled HSV picker (own conversion math, literal hue gradient) inside a colour library whose app already has a picker
UIA-V-309	MEDIUM	browse-search-filter	GLASS+CONSUMER	CURED e88fbc69	W12U-evidence/s2/probe-filter-fit (one chip set; no radio/checkbox rows) HEAD RED → GREEN light+dark · glass half O-59 (relayed)	Radio rows are 44px tall and checkbox rows about 29px, so the filter list has a broken vertical rhythm
UIA-V-310	MEDIUM	browse-search-filter	CONSUMER	CURED 4aea64c1	W12U-evidence/s2/probe-filter-trigger HEAD RED → GREEN light+dark	The Filters trigger uses a kebab (⋮) icon, is 32x40 instead of square, and overhangs the search bar
UIA-V-311	MEDIUM	browse-search-filter	GLASS+CONSUMER	HONEST-RED W12U-S2-CARRY → .k	open at HEAD; not cured in .s2 (routed by class) · glass half O-59 (relayed)	The browse search field is 16px-cornered (the multi-line role) instead of the single-line stadium, through a consumer override
UIA-V-313	MEDIUM	browse-search-filter	CONSUMER	HONEST-RED W12U-S2-CARRY → .k	open at HEAD; not cured in .s2 (routed by class)	The hand-rolled inline 'Search' button and swatch trigger are off the glass primitives; MiniColorPicker's Search button is squashed into a 44px circle
UIA-V-314	MEDIUM	browse-search-filter	GLASS+CONSUMER	HONEST-RED W12U-S2-CARRY → .m	open at HEAD; not cured in .s2 (routed by class) · glass half O-59 (relayed)	At 390 the search field's text is larger than on desktop and larger than its own shell font
UIA-V-315	MEDIUM	tag-edit-popover	GLASS+CONSUMER	CURED b9cc5273	W12U-evidence/s2/probe-tag-chooser (no checkbox) HEAD RED → GREEN light+dark · glass half O-59 (relayed)	Checkbox renders as a circle (radio shape), and a checked box under the pointer loses its fill
UIA-V-316	MEDIUM	tag-edit-popover	CONSUMER	CURED b9cc5273	W12U-evidence/s2/probe-tag-chooser (≤ 3 category labels) HEAD RED → GREEN light+dark	Tag names are truncated to make room for a category label repeated on every row
UIA-V-317	MEDIUM	tag-edit-popover	CONSUMER	CURED b9cc5273	W12U-evidence/s2/probe-tag-chooser (coarse chip 44/47 px; no inner scroller) HEAD RED → GREEN light+dark	On mobile, rows are below the touch floor and the scroll list cuts a row in half with no fade
UIA-V-318	MEDIUM	tag-edit-popover	CONSUMER	CURED b9cc5273	W12U-evidence/s2/probe-tag-chooser (inert while saving) HEAD RED → GREEN light+dark	Each click sends its own PATCH, with no pending state and the saved palette thrown away
UIA-V-319	MEDIUM	tag-edit-popover	CONSUMER	HONEST-RED W12U-S2-CARRY → .k	open at HEAD; not cured in .s2 (routed by class)	A refused tag-catalog GET raises the app-wide 'BACKEND OFFLINE — SAVED LOCALLY' pill
UIA-V-320	MEDIUM	version-history-drawer	CONSUMER	CURED e42b3585	W12U-evidence/s2/probe-versions (strip) HEAD RED → GREEN light+dark	Palette rendered as overlapping 20px circles, unlike every other palette surface
UIA-V-321	MEDIUM	version-history-drawer	CONSUMER	CURED e42b3585	W12U-evidence/s2/probe-versions (rounded-card) HEAD RED → GREEN light+dark	Row radius is an 8px literal, while sibling palette wells use rounded-card (16px)
UIA-V-323	MEDIUM	version-history-drawer	CONSUMER	CURED e42b3585	W12U-evidence/s2/probe-versions load HEAD RED → GREEN light+dark	Loading shows '0 versions' and a bare spinner instead of a skeleton
UIA-V-324	MEDIUM	version-history-drawer	CONSUMER	CURED e42b3585	W12U-evidence/s2/probe-versions foreign + confirm HEAD RED → GREEN light+dark	Revert is offered on other users' palettes, and restore has no confirm or pending state
UIA-V-325	MEDIUM	version-history-drawer	GLASS+CONSUMER	HONEST-RED W12U-S2-CARRY → .m	= A2-VA-X-3: the sheet lies off-screen at every width (glass SHEET-POSITION, O-74c G-1); the consumer w-[380px] half is .m's · glass half O-59 (relayed)	Phone presentation is a 293px right sheet with page ghosting through it
UIA-V-327	MEDIUM	flag-report-dialog	CONSUMER	CURED b37f115f	W12U-evidence/s2/probe-flag-dialog HEAD RED → GREEN light+dark	The one palette dialog off the confirm idiom: ✕ plus Cancel as two dismiss affordances, default surface, literal width
UIA-V-328	MEDIUM	flag-report-dialog	GLASS+CONSUMER	CURED b37f115f	W12U-evidence/s2/probe-flag-dialog HEAD RED → GREEN light+dark · glass half O-59 (relayed)	Phone: full-bleed dialog with no gutter, a 16×16 ✕ hit box, and a stacked footer of two 340×60 stadium pills — stale glass 7 pin (fixed at glass HEAD)
UIA-V-329	MEDIUM	flag-report-dialog	GLASS+CONSUMER	HONEST-RED W12U-S2-CARRY → .h	open at HEAD; not cured in .s2 (routed by class) · glass half O-59 (relayed)	Weak type hierarchy and near-invisible unselected radios in light theme
UIA-V-330	MEDIUM	flag-report-dialog	CONSUMER	CURED b37f115f	W12U-evidence/s2/probe-flag-dialog (in-flight lock) HEAD RED → GREEN light+dark	Double-submit and cancel race during the in-flight window
UIA-V-331	MEDIUM	migrate-palettes-dialog	CONSUMER	CURED b906c56e	W12U-evidence/s2/probe-migrate HEAD RED → GREEN light+dark	"One-off dialog: it is the only palette dialog without surface=""glass"", DialogFooter and emphasis/tone, and it hand-rolls radius, width and type"
UIA-V-332	MEDIUM	migrate-palettes-dialog	GLASS+CONSUMER	HONEST-RED W12U-S2-CARRY → .h	rounded-full/justify-start dropped (b906c56e); the stadium row itself is the glass choice-list ask (O-59) · glass half O-59 (relayed)	"Full-width stacked choice rows are stadium pills (radius 9999px). The owner's ""too rounded, should be card-like"" applies, and glass has no choice-row primitive"
UIA-V-333	MEDIUM	migrate-palettes-dialog	CONSUMER	CURED-AT-HEAD	s2/probe-migrate HEAD arm — the dialog keeps a 20 px gutter at 390 on 10.1.0 (the pinned gutter clamp)	At 390 the dialog sits 3px from each screen edge because the consumer's `max-w-sm` overrides the pinned glass width and there is no gutter clamp
UIA-V-334	MEDIUM	migrate-palettes-dialog	CONSUMER	CURED b906c56e	W12U-evidence/s2/probe-migrate HEAD RED → GREEN light+dark	The ✕ close has a 16×16 hit box, and it is the only way to cancel (no Cancel button)
UIA-V-335	MEDIUM	migrate-palettes-dialog	CONSUMER	CURED b906c56e	W12U-evidence/s2/probe-migrate HEAD RED → GREEN light+dark	Copy does not explain the choices: 'Publish, then switch' and 'Transfer to new account' read the same, 'Just switch' does not say palettes stay local, and the title is generic
UIA-V-336	MEDIUM	migrate-palettes-dialog	CONSUMER	CURED b906c56e	W12U-evidence/s2/probe-migrate (focus on Cancel) HEAD RED → GREEN light+dark	Autofocus lands on 'Publish, then switch', so an Enter keypress publishes every local palette publicly
UIA-V-338	MEDIUM	migrate-palettes-dialog	CONSUMER	CURED b906c56e	W12U-evidence/s2/probe-flag-dialog + s2/probe-migrate (both dialogs on the confirm idiom) HEAD RED → GREEN light+dark	FlagReportDialog is a second one-off dialog with the same grammar
UIA-V-524	LOW	palettes-view	CONSUMER	HONEST-RED W12U-S2-CARRY → .h	open at HEAD; not cured in .s2 (routed by class)	Same Badge, two meanings: header '4' = palettes, card '5' = colors (unit only in a title tooltip); the card count duplicates the strip
UIA-V-525	LOW	palettes-view	CONSUMER	HONEST-RED W12U-S2-CARRY → .h	open at HEAD; not cured in .s2 (routed by class)	Selected card repeats its strip as a row of dots
UIA-V-526	LOW	palettes-view	CONSUMER	HONEST-RED W12U-S2-CARRY → .h	open at HEAD; not cured in .s2 (routed by class)	Menu voice: display-serif header over mono items (about 20px mono at 390)
UIA-V-527	LOW	palettes-view	CONSUMER	HONEST-RED W12U-S2-CARRY → .k	the UA search cancel glyph (native type=search) — glass half O-59; consumer clear-button swap owed with V-562	Search clear '×' renders saturated blue on the warm plate
UIA-V-528	LOW	palettes-view	CONSUMER	HONEST-RED W12U-S2-CARRY → .h	open at HEAD; not cured in .s2 (routed by class)	dashed-well: dashed 'receptacle' edge on a raised cartoon stamp; glass's seated well is recessed
UIA-V-529	LOW	palettes-view	CONSUMER	HONEST-RED W12U-S2-CARRY → .m	open at HEAD; not cured in .s2 (routed by class)	Picker-card blob pops in late / inconsistently across loads
UIA-V-530	LOW	palettes-view	CONSUMER	HONEST-RED W12U-S2-CARRY → .h	open at HEAD; not cured in .s2 (routed by class)	Current Palette header mixes serif title with mono '4 colors' count, a third voice in one well
UIA-V-538	LOW	palette-card-menu	CONSUMER	HONEST-RED W12U-S2-CARRY → .h	the truncated name header is gone (b5d67459); the verb set (two 'Publish') is the palette-verb design (.h)	The owned-palette menu is cluttered: 9 rows + header, redundant verbs, two different actions both called 'Publish'
UIA-V-540	LOW	palette-card-menu	CONSUMER	HONEST-RED W12U-S2-CARRY → .k	open at HEAD; not cured in .s2 (routed by class)	PaletteCard.vue survives as a near-verbatim twin of PaletteInspector.vue, both hosting this menu and meta
UIA-V-541	LOW	palette-card-menu	CONSUMER	HONEST-RED W12U-S2-CARRY → .h	open at HEAD; not cured in .s2 (routed by class)	The featured card drops its colour-count chip at 390
UIA-V-542	LOW	palette-card-menu	CONSUMER	CURED b5d67459	W12U-evidence/s2/probe-card-menu (icons all 16 px; no wrap) HEAD RED → GREEN light+dark	Menu row icons and labels are misaligned when a row wraps
UIA-V-543	LOW	palette-card-menu	CONSUMER	DEDUPE A2-VA-L3-5 → .h	the floating orphan trash = the delete-all toolbar row	A floating orphan trash button sits between the My Palettes cards
UIA-V-546	LOW	palettes-delete-all-dialog	GLASS+CONSUMER	HONEST-RED W12U-S2-CARRY → .k	open at HEAD; not cured in .s2 (routed by class) · glass half O-59 (relayed)	Dock collapsed to its blob while the dialog was open and had not re-expanded after close (cause unconfirmed)
UIA-V-547	LOW	palettes-delete-all-dialog	CONSUMER	CURED c7e0b1b4	W12U-evidence/s2/probe-delete-all HEAD RED → GREEN light+dark	Description copy leaks implementation ('from local storage'); the confirm button hand-sizes its icon
UIA-V-551	LOW	browse-view	CONSUMER	CURED 376b02ce	W12U-evidence/s2/probe-no-match (hint half; unnarrowed wall names a next step) HEAD RED → GREEN light+dark	The Browse empty state gives no next step, unlike its sibling, and leaves about 60% of the pane dead
UIA-V-552	LOW	browse-view	CONSUMER	HONEST-RED W12U-S2-CARRY → .h	the pane-header veil is glass's (O-62 recut); consumer seam only	Pane-header veil draws a visible band and seam at rest
UIA-V-553	LOW	browse-view	CONSUMER	HONEST-RED W12U-S2-CARRY → .h	open at HEAD; not cured in .s2 (routed by class)	Pane-title treatment differs between siblings (gradient 'Palettes', plain 'Browse'; light theme only)
UIA-V-554	LOW	browse-view	GLASS+CONSUMER	HONEST-RED W12U-S2-CARRY → .h	open at HEAD; not cured in .s2 (routed by class) · glass half O-59 (relayed)	Developing skeleton shimmer reads as bright white glare in light, and the stagger is dormant
UIA-V-555	LOW	browse-view	CONSUMER	HONEST-RED W12U-S2-CARRY → .h	open at HEAD; not cured in .s2 (routed by class)	Menu typography species mix: card menu items in mono, filter popover items in sans
UIA-V-556	LOW	browse-view	CONSUMER	HONEST-RED W12U-S2-CARRY → .h	open at HEAD; not cured in .s2 (routed by class)	'Featured' mark renders as mono-bold text beside the serif name, and silently becomes icon-only at 390
UIA-V-557	LOW	browse-view	CONSUMER	HONEST-RED W12U-S2-CARRY → .k	open at HEAD; not cured in .s2 (routed by class)	Third overflow glyph: the 390 dock uses a vertical ⋮ next to the search glyph
UIA-V-559	LOW	browse-search-filter	CONSUMER	CURED e88fbc69	W12U-evidence/s2/probe-filter-fit (no nested scroller) HEAD RED → GREEN light+dark	The tag list scrolls inside a 112px well that clips glyphs mid-row with no fade
UIA-V-560	LOW	browse-search-filter	CONSUMER	CURED e88fbc69	W12U-evidence/s2/probe-filter-fit (glass pad; no p-0) HEAD RED → GREEN light+dark	The popover's 'p-0' override loses to the glass overlay pad, so padding doubles and dividers are inset
UIA-V-561	LOW	browse-search-filter	CONSUMER	HONEST-RED W12U-S2-CARRY → .k	open at HEAD; not cured in .s2 (routed by class)	The colour search filters only the loaded page (50), not the server
UIA-V-562	LOW	browse-search-filter	GLASS+CONSUMER	HONEST-RED W12U-S2-CARRY → .k	open at HEAD; not cured in .s2 (routed by class) · glass half O-59 (relayed)	The search clear (×) glyph is a saturated off-palette blue
UIA-V-563	LOW	browse-search-filter	CONSUMER	HONEST-RED W12U-S2-CARRY → .m	open at HEAD; not cured in .s2 (routed by class)	The pane re-centres vertically as results change
UIA-V-565	LOW	tag-edit-popover	CONSUMER	CURED b9cc5273	W12U-evidence/s2/probe-tag-chooser (glass pad; no p-0/w-52) HEAD RED → GREEN light+dark	Popover padding overridden with p-0 and utility padding instead of the glass overlay pad tokens
UIA-V-566	LOW	tag-edit-popover	CONSUMER	CURED b9cc5273	W12U-evidence/s2/probe-tag-chooser (named 'Tags of <palette>') HEAD RED → GREEN light+dark	The dialog has no usable name and doesn't say which palette it is tagging
UIA-V-567	LOW	tag-edit-popover	CONSUMER	HONEST-RED W12U-S2-CARRY → .h	open at HEAD; not cured in .s2 (routed by class)	Loading state is a lone spinner in a near-empty box
UIA-V-569	LOW	tag-edit-popover	CONSUMER	HONEST-RED W12U-S2-CARRY → .h	open at HEAD; not cured in .s2 (routed by class)	The card never shows tag names, only a '+N' count, so the edit's result can't be read
UIA-V-570	LOW	tag-edit-popover	CONSUMER	HONEST-RED W12U-S2-CARRY → .k	open at HEAD; not cured in .s2 (routed by class)	Two tag-save verdict paths exist, and neither is where the user acted; the verdict is lost if the popover closes first
UIA-V-571	LOW	tag-edit-popover	CONSUMER	HONEST-RED W12U-S2-CARRY → .h	open at HEAD; not cured in .s2 (routed by class)	The popover has no explicit close or Done control, and saves are silent on success
