# SERVED MODEL: claude-opus-5-5 — X.W12U.s1 disposition slice (182 supplement rows, .s1 pages). Built by build-s1.py.
id	sev	page	owner	s1_disposition	evidence_or_route	title
UIA-V-15	BROKEN	dock-slug-edit-layer	CONSUMER	CURED 6bd9ff79	W12U-evidence/s/probe-slug A HEAD RED → GREEN light+dark	The 'switching' spinner can never show: onSlugSwitch is not awaited
UIA-V-16	BROKEN	dock-slug-edit-layer	CONSUMER	CURED 6bd9ff79	W12U-evidence/s/probe-slug B HEAD RED → GREEN light+dark	Any string that is not a 4-word slug becomes an admin token: a typo logs you out and turns on admin mode
UIA-V-17	BROKEN	dock-slug-edit-layer	CONSUMER	CURED 6bd9ff79	W12U-evidence/s/probe-slug E + x/probe-dock-input 360·844 HEAD RED → GREEN light+dark · also A2-VA-X-14	At 390 the Cancel control is clipped out of the dock and Generate is half cut off
UIA-V-19	BROKEN	dock-profile-menu	CONSUMER	CURED bb6727e8	W12U-evidence/s/probe-slug D HEAD RED → GREEN light+dark	A failed 'Regenerate slug' signs the user out but the menu keeps showing the old identity
UIA-V-20	BROKEN	dock-profile-menu	CONSUMER	CURED 6bd9ff79	W12U-evidence/s/probe-slug A HEAD RED → GREEN light+dark	Signing in with an unknown slug fails silently: the error goes to an unmounted PaletteSlugBar
UIA-V-21	BROKEN	dock-profile-menu	CONSUMER	CURED d8b8e063	W12U-evidence/s/probe-slug C HEAD RED → GREEN light+dark	Admin: any string that is not slug-shaped grants a gold 'admin' identity with no server check, and nothing in the dock lets the user leave it
UIA-V-23	BROKEN	dock-mbabb-menu	CONSUMER	CURED bc0bc5b1	W12U-evidence/s/probe-share HEAD RED → GREEN light+dark	'Share color' copies a URL that does not contain the color
UIA-V-28	BROKEN	palette-scene-actions	CONSUMER	CURED cc26ac43	W12U-evidence/s/probe-tag-anchor HEAD RED → GREEN light+dark · also A2-VA-X-4	Edit tags opens the tag editor unanchored at the viewport's top-left corner
UIA-V-47	BROKEN	blob-view	GLASS+CONSUMER	CURED b7d6b40e	W12U-evidence/s/probe-blob-geometry HEAD RED → GREEN light+dark · glass half O-59 (relayed)	Blob pane Geometry sliders do nothing: the only blob on the page ignores them
UIA-V-59	HIGH	app-ground-atmosphere	CONSUMER	CURED 3f9cb923	W12U-evidence/s/probe-admin-mode HEAD RED → GREEN light+dark	The per-view accent stays locked to admin gold after visiting /atmosphere or /blob, even when logged out; the 9-view 40° hue steps disappear
UIA-V-60	HIGH	home-picker	GLASS+CONSUMER	HONEST-RED W12U-S1-CARRY → .k	open at HEAD; not cured in .s1 (routed by class) · glass half O-59 (relayed)	ConsoleRail is a stadium-radius pill around a vertical four-item column (owner: 'too rounded pills')
UIA-V-70	HIGH	dock-main	CONSUMER	HONEST-RED W12U-S1-CARRY → .k	open at HEAD; not cured in .s1 (routed by class)	Four dock controls, four faces and three type voices; separators between every control
UIA-V-72	HIGH	dock-view-select	CONSUMER	CURED 0bd1ec98	W12U-evidence/s/probe-view-select HEAD RED → GREEN light+dark	View list has no current-view indicator: the selected row looks identical to every other row
UIA-V-73	HIGH	dock-view-select	CONSUMER	HONEST-RED W12U-S1-CARRY → .h	gold ink ceiling 2.10:1 on white (o18 census bound); the treatment is X-W10's ruling	Gold 'Admin' row text is 2.22:1 on the light popover
UIA-V-74	HIGH	dock-view-select	CONSUMER	HONEST-RED W12U-S1-CARRY → .h	the gold identity now rides the admin DockTrigger (d8b8e063); its light-theme ink is unchanged	The dock's gold 'admin' pill has the same light-theme contrast failure as the Admin row
UIA-V-75	HIGH	dock-action-bar-color	GLASS+CONSUMER	DEDUPE A2-VA-L2-6 + A2-VA-X-9 → .m	hand-rolled 32 px seats · glass half O-59 (relayed)	Action seats are hand-rolled 32px buttons, not DockControl; the layer mixes two control registers
UIA-V-76	HIGH	dock-action-bar-color	GLASS+CONSUMER	DEDUPE A2-VA-L2-6 + A2-VA-X-9 → .m	coarse floor · glass half O-59 (relayed)	Coarse-pointer target floor is not applied: seats are 32px and the compact Tools trigger is 33.4px
UIA-V-77	HIGH	dock-color-input	CONSUMER	HONEST-RED W12U-S1-CARRY → .m	V-13 (3c415667) now withdraws the badge on edit; the badge still overlays the field while shown	The 'not a valid color' badge covers the typed text and the send button, and spills past the field onto the dock separator
UIA-V-78	HIGH	dock-color-input	GLASS+CONSUMER	HONEST-RED W12U-S1-CARRY → .k	open at HEAD; not cured in .s1 (routed by class) · glass half O-59 (relayed)	The dock field is a hand-rolled contenteditable span: a square white 4px box inside the stadium dock instead of the glass dock-field or Input pill
UIA-V-79	HIGH	dock-color-input	CONSUMER	CURED ba88c558	W12U-evidence/s/probe-dock-bar V-79 arm HEAD RED → GREEN light+dark · also A2-VA-X-13	The field sizes to its content, so the whole dock resizes on every keystroke and an empty field shrinks to a 50px stub with no placeholder
UIA-V-80	HIGH	dock-color-input	CONSUMER	HONEST-RED W12U-S1-CARRY → .h	open at HEAD; not cured in .s1 (routed by class)	The 'live parse' isn't live: a 2 s debounce, and the echo readout only appears in a hover popover that doesn't open while you type
UIA-V-81	HIGH	dock-color-input	CONSUMER	HONEST-RED W12U-S1-CARRY → .m	instrument row: :9000 served ~60 probe runs in this seat without a stall; the lab.md/WebGPU halves not re-read	INCIDENTAL (outside seat): :9000 dev server stalls or hangs, the About pane fails to import lab.md, aurora WebGPU canvas exceeds the max texture size, and the renderer froze after a parse
UIA-V-82	HIGH	dock-color-input	CONSUMER	HONEST-RED W12U-S1-CARRY → .m	open at HEAD; not cured in .s1 (routed by class)	The ground drops to black and the panes go grey mid-session (aurora lost), at sha 307791a4
UIA-V-83	HIGH	dock-slug-edit-layer	CONSUMER	CURED bb6727e8	W12U-evidence/s/probe-slug D HEAD RED → GREEN light+dark	When regenerate fails, the stored identity is already wiped, while the UI still shows the old slug
UIA-V-84	HIGH	dock-slug-edit-layer	CONSUMER	CURED 6bd9ff79	W12U-evidence/s/probe-slug E (Generate absent from the layer) HEAD RED → GREEN light+dark	'Generate new slug' failures started from the layer are invisible (always when logged out, until the menu is reopened when logged in)
UIA-V-86	HIGH	dock-slug-edit-layer	CONSUMER	HONEST-RED W12U-S1-CARRY → .m	open at HEAD; not cured in .s1 (routed by class)	The 390-dark 12-14 capture run is mislabeled: the live Generate did not issue a slug
UIA-V-87	HIGH	dock-mobile-menu	CONSUMER	CURED 6bd9ff79	W12U-evidence/s/probe-slug E HEAD RED → GREEN light+dark	Slug edit layer (reached from Login / Switch account) overflows the 390 dock: Cancel is fully off-screen, regenerate is clipped, and the placeholder is truncated
UIA-V-88	HIGH	dock-mobile-menu	GLASS+CONSUMER	HONEST-RED W12U-S1-CARRY → .k	glass half is the cascade-layer ask (O-59); the dead consumer utilities stay until glass layers the menu CSS · glass half O-59 (relayed)	Glass menu CSS sits outside any cascade layer, so every consumer utility on a menu row is dead: `text-small` and `text-muted-foreground` never apply
UIA-V-89	HIGH	dock-mobile-menu	CONSUMER	CURED 6bd9ff79	W12U-evidence/s/probe-slug E + results/x14-slug-edit.txt HEAD RED → GREEN light+dark · also A2-VA-X-14	Slug layer placeholder truncation reproduces in dark logged-out Login flow and at every theme; there is no visible exit on touch in either
UIA-V-91	HIGH	dock-profile-menu	CONSUMER	HONEST-RED W12U-S1-CARRY → .k	open at HEAD; not cured in .s1 (routed by class)	The dock's trailing zone has two identity/utility triggers, off-idiom against its siblings and keyframes
UIA-V-92	HIGH	dock-profile-menu	GLASS+CONSUMER	HONEST-RED W12U-S1-CARRY → .k	open at HEAD; not cured in .s1 (routed by class) · glass half O-59 (relayed)	The slug identity header and the admin pill are hand-rolled stadium chips; the owner rejects them as 'too rounded' and wants them card-like
UIA-V-93	HIGH	dock-profile-menu	CONSUMER	CURED 2547936f	W12U-evidence/s/probe-admin-refused HEAD RED → GREEN light+dark	The admin token survives server rejection
UIA-V-104	HIGH	palette-scene-actions	CONSUMER	CURED 18050f55	W12U-evidence/s/probe-delete-confirm HEAD RED → GREEN light+dark	Dock 'Delete palette' destroys a saved palette instantly: no confirm, no undo, no message
UIA-V-105	HIGH	palette-scene-actions	CONSUMER	HONEST-RED W12U-S1-CARRY → .m	open at HEAD; not cured in .s1 (routed by class)	At 390 the 9-verb palette set overflows the dock: Remix clipped mid-icon, Vote/Export/Delete off-screen
UIA-V-106	HIGH	palette-scene-actions	CONSUMER	DEDUPE A2-VA-L2-6 + A2-VA-X-9 → .m	palette seats 32 px	Palette seats are hand-rolled buttons, not DockControl: 32px, 4px radius, below the 44px touch floor
UIA-V-107	HIGH	palette-scene-actions	CONSUMER	CURED 331f4540	W12U-evidence/s/probe-verdicts HEAD RED → GREEN light+dark	A second verdict within 2.5s is dismissed early by the first verdict's timer
UIA-V-108	HIGH	palette-scene-actions	CONSUMER	HONEST-RED W12U-S1-CARRY → .h	the rail is the inspector's; V-107 (331f4540) holds errors now, the dock-side failed state is not built	Result of a dock verb lands only on the card rail: off-screen on phones, gone in 2.5s, and the dock's 'failed' state can never fire
UIA-V-109	HIGH	palette-scene-actions	CONSUMER	HONEST-RED W12U-S1-CARRY → .h	open at HEAD; not cured in .s1 (routed by class)	Owned palette's verb set duplicates itself: Save and Remix say the same thing, and the whole set repeats the card's menu
UIA-V-110	HIGH	palette-scene-actions	CONSUMER	CURED d5d93a5b	W12U-evidence/s/probe-owned-save HEAD RED → GREEN light+dark	Save on a palette the user already owns creates silent duplicate copies
UIA-V-111	HIGH	palette-scene-actions	CONSUMER	CURED 18050f55	W12U-evidence/s/probe-delete-confirm HEAD RED → GREEN light+dark	Owned-remote delete in Browse is also unconfirmed (the cited confirm guards only admin delete)
UIA-V-160	HIGH	blob-view	CONSUMER	HONEST-RED W12U-S1-CARRY → .m	open at HEAD; not cured in .s1 (routed by class)	The blob scene's subject is a 113px ornament in the corner and scrolls away while you tune it
UIA-V-161	HIGH	blob-view	CONSUMER	DEDUPE A2-VA-L3-3 → glass O-74 (open-at-HEAD) · .h adopts	unbounded Blob inspector	Inspector card has no height bound (2693px), so the 'docked' Copy/Reset footer sits 1700px below the fold
UIA-V-162	HIGH	blob-view	CONSUMER	HONEST-RED W12U-S1-CARRY → .k	open at HEAD; not cured in .s1 (routed by class)	Configurator chrome is hand-rolled around ConfiguratorRow instead of using the glass-ui configurator family
UIA-V-163	HIGH	blob-view	CONSUMER	HONEST-RED W12U-S1-CARRY → .h	open at HEAD; not cured in .s1 (routed by class)	31-slider wall with no disclosure, jargon labels, and duplicate row names
UIA-V-164	HIGH	blob-view	GLASS+CONSUMER	HONEST-RED W12U-S1-CARRY → .m	open at HEAD; not cured in .s1 (routed by class) · glass half O-59 (relayed)	Hero blob flashes as an opaque square tile during a colour jump
UIA-V-188	MEDIUM	app-ground-atmosphere	CONSUMER	HONEST-RED W12U-S1-CARRY → .k	open at HEAD; not cured in .s1 (routed by class)	The hand-mounted <canvas> + useAurora re-implements glass <Aurora> and loses its contracts (sizing, fallback, status)
UIA-V-190	MEDIUM	app-ground-atmosphere	CONSUMER	HONEST-RED W12U-S1-CARRY → .m	open at HEAD; not cured in .s1 (routed by class)	In dark, all nine per-view accents collapse to near-white, so the hue step is invisible
UIA-V-193	MEDIUM	home-picker	CONSUMER	HONEST-RED W12U-S1-CARRY → .h	open at HEAD; not cured in .s1 (routed by class)	The same channel values are shown twice in one card (hero tuple and channel meters), and the About pane repeats the space selector
UIA-V-194	MEDIUM	home-picker	GLASS+CONSUMER	HONEST-RED W12U-S1-CARRY → .h	open at HEAD; not cured in .s1 (routed by class) · glass half O-59 (relayed)	Nested plates are not concentric: the spectrum and console carry 12px inside a 16px card at a 21px inset, and the card publishes --radius-inset 0
UIA-V-195	MEDIUM	home-picker	CONSUMER	HONEST-RED W12U-S1-CARRY → .m	open at HEAD; not cured in .s1 (routed by class)	Readout value edit has no commit or cancel: Escape does not revert, typed values apply live, and the dock never switches
UIA-V-196	MEDIUM	home-picker	CONSUMER	HONEST-RED W12U-S1-CARRY → .m	open at HEAD; not cured in .s1 (routed by class)	Out-of-gamut values are shown raw with no visible marker (hsl −1295%, rgb 385.3, hwb −51.1%, hsv v 1.511)
UIA-V-197	MEDIUM	home-picker	CONSUMER	HONEST-RED W12U-S1-CARRY → .h	open at HEAD; not cured in .s1 (routed by class)	Space-select specimens are heavy and inconsistent: two-line display-italic cards with a mix of CSS functions and 'hsv · 346 · …' pseudo-syntax
UIA-V-198	MEDIUM	home-picker	GLASS+CONSUMER	HONEST-RED W12U-S1-CARRY → .h	open at HEAD; not cured in .s1 (routed by class) · glass half O-59 (relayed)	Dark theme: the card reads opaque brown on a saturated red ground
UIA-V-200	MEDIUM	home-picker	GLASS+CONSUMER	HONEST-RED W12U-S1-CARRY → .h	open at HEAD; not cured in .s1 (routed by class) · glass half O-59 (relayed)	Hard offset drop-shadow slab under every card
UIA-V-201	MEDIUM	home-picker	GLASS+CONSUMER	HONEST-RED W12U-S1-CARRY → .h	open at HEAD; not cured in .s1 (routed by class) · glass half O-59 (relayed)	Dock at 1440 mixes typefaces and nested pills
UIA-V-215	MEDIUM	dock-main	CONSUMER	CURED d8b8e063	W12U-evidence/s/probe-slug C HEAD RED → GREEN light+dark	Admin identity is a hand-rolled, inert .slug-pill that looks like a button and has no exit path
UIA-V-216	MEDIUM	dock-main	CONSUMER	CURED 0bd1ec98	W12U-evidence/s/probe-view-select HEAD RED → GREEN light+dark	View-select menu shows no current-view selection state
UIA-V-217	MEDIUM	dock-main	CONSUMER	HONEST-RED W12U-S1-CARRY → .h	open at HEAD; not cured in .s1 (routed by class)	Two dock menus, two type voices, misaligned icon column
UIA-V-218	MEDIUM	dock-main	CONSUMER	DEDUPE A2-VA-L1-9 → .k	hand-rolled status dot	DockStatusLamp at 390 is an unlabelled lozenge: display:none strips its label from the accessibility tree, and it hand-rolls a status dot
UIA-V-219	MEDIUM	dock-main	GLASS+CONSUMER	HONEST-RED W12U-S1-CARRY → .h	open at HEAD; not cured in .s1 (routed by class) · glass half O-59 (relayed)	Dock pill rounding (owner docket): the dock radii are ON canon; the 'too rounded' read comes from nested filled capsules of mismatched height
UIA-V-220	MEDIUM	dock-main	GLASS+CONSUMER	DEDUPE A2-VA-L2-3 → glass O-74	list height clip · glass half O-59 (relayed)	View-select list is height-clipped at 1440x900: Atmosphere and Blob sit below a fade with no visible scroll affordance
UIA-V-223	MEDIUM	dock-view-select	CONSUMER	HONEST-RED W12U-S1-CARRY → .h	open at HEAD; not cured in .s1 (routed by class)	Popover radius is 12px (panel step); canon says a popover is --radius-card 16px
UIA-V-225	MEDIUM	dock-view-select	GLASS+CONSUMER	HONEST-RED W12U-S1-CARRY → .h	open at HEAD; not cured in .s1 (routed by class) · glass half O-59 (relayed)	Desktop rows use the 44px touch target, and the consumer adds its own padding
UIA-V-226	MEDIUM	dock-view-select	CONSUMER	CURED 0bd1ec98	W12U-evidence/s/probe-view-select HEAD RED → GREEN light+dark	Hand-rolled separator instead of glass SelectSeparator
UIA-V-227	MEDIUM	dock-view-select	CONSUMER	HONEST-RED W12U-S1-CARRY → .k	pill half CURED d8b8e063 (admin identity is a menu); the sentinel listbox-option half stays	The admin toggle is a sentinel listbox option, while the dock's gold 'admin' pill looks like a control but does nothing
UIA-V-229	MEDIUM	dock-action-bar-color	GLASS+CONSUMER	HONEST-RED W12U-S1-CARRY → .k	open at HEAD; not cured in .s1 (routed by class) · glass half O-59 (relayed)	Hover cards open without being asked: after the Tools click, and again after clicking a seat
UIA-V-230	MEDIUM	dock-action-bar-color	CONSUMER	HONEST-RED W12U-S1-CARRY → .m	open at HEAD; not cured in .s1 (routed by class)	The Palettes seat shows as selected on /#/blob, where there is no Palettes pane
UIA-V-231	MEDIUM	dock-action-bar-color	CONSUMER	HONEST-RED W12U-S1-CARRY → .k	open at HEAD; not cured in .s1 (routed by class)	The selected seat is only a stroke colour, and it nearly disappears in dark mode
UIA-V-232	MEDIUM	dock-action-bar-color	CONSUMER	HONEST-RED W12U-S1-CARRY → .m	open at HEAD; not cured in .s1 (routed by class)	While a workbench pane is still loading, its seats say 'not registered in this layout'
UIA-V-233	MEDIUM	dock-action-bar-color	CONSUMER	HONEST-RED W12U-S1-CARRY → .m	open at HEAD; not cured in .s1 (routed by class)	The input-arm toggle cycles three modes through one button whose icons don't say what they do
UIA-V-234	MEDIUM	dock-action-bar-color	GLASS+CONSUMER	HONEST-RED W12U-S1-CARRY → .k	open at HEAD; not cured in .s1 (routed by class) · glass half O-59 (relayed)	The dock colour input is an opaque white 10px rectangle inside a stadium dock, and its hover card repeats the value
UIA-V-235	MEDIUM	dock-action-bar-color	GLASS+CONSUMER	HONEST-RED W12U-S1-CARRY → .m	open at HEAD; not cured in .s1 (routed by class) · glass half O-59 (relayed)	The workbench bar can render with Back shifted outside the dock's left edge (bar opened across a colour → workbench route change)
UIA-V-236	MEDIUM	dock-action-bar-color	GLASS+CONSUMER	DEDUPE A2-VA-L2-6 → .m	Tools trigger height · glass half O-59 (relayed)	The desktop Tools trigger is 32px tall next to 40px DockControls, and its own comment says otherwise
UIA-V-237	MEDIUM	dock-action-bar-color	CONSUMER	HONEST-RED W12U-S1-CARRY → .k	open at HEAD; not cured in .s1 (routed by class)	Hover and selected paint are identical on the scene seats
UIA-V-238	MEDIUM	dock-action-bar-color	CONSUMER	HONEST-RED W12U-S1-CARRY → .m	open at HEAD; not cured in .s1 (routed by class)	Scene seats deregister after they were ready (ready → unavailable → ready flicker)
UIA-V-239	MEDIUM	dock-color-input	CONSUMER	HONEST-RED W12U-S1-CARRY → .k	open at HEAD; not cured in .s1 (routed by class)	The hover popover on a text field carries instructions that belong in the placeholder or description, in three typefaces
UIA-V-240	MEDIUM	dock-color-input	CONSUMER	HONEST-RED W12U-S1-CARRY → .k	open at HEAD; not cured in .s1 (routed by class)	Mode toggle cycles through three states and each icon shows the next state; ⋮ means 'Close'
UIA-V-241	MEDIUM	dock-color-input	CONSUMER	HONEST-RED W12U-S1-CARRY → .m	open at HEAD; not cured in .s1 (routed by class)	The send arrow has no accessible name and its disabled state looks the same as enabled
UIA-V-242	MEDIUM	dock-color-input	CONSUMER	HONEST-RED W12U-S1-CARRY → .m	open at HEAD; not cured in .s1 (routed by class)	The propose placeholder is pure black (#000), darker than typed text, and gives no context
UIA-V-243	MEDIUM	dock-color-input	CONSUMER	HONEST-RED W12U-S1-CARRY → .m	open at HEAD; not cured in .s1 (routed by class)	Proposing state: a 14px spinner is the only signal, and the field stays editable with no busy semantics
UIA-V-244	MEDIUM	dock-color-input	CONSUMER	HONEST-RED W12U-S1-CARRY → .k	open at HEAD; not cured in .s1 (routed by class)	One-off motion: scoped @keyframes input-mode-flash and crown-appear, plus a local crossfade shim duplicating glass DockCrossfade
UIA-V-245	MEDIUM	dock-color-input	CONSUMER	HONEST-RED W12U-S1-CARRY → .m	open at HEAD; not cured in .s1 (routed by class)	The focus indicator is the user's current color, not a focus register, and it vanishes for pale colors
UIA-V-246	MEDIUM	dock-slug-edit-layer	GLASS+CONSUMER	DEDUPE A2-VA-L1-14 → .k	bare slug <input> → glass Input · glass half O-59 (relayed)	The slug field is a bare hand-rolled <input>: no field surface, no focus ring, placeholder in full ink
UIA-V-247	MEDIUM	dock-slug-edit-layer	CONSUMER	CURED 6bd9ff79	W12U-evidence/s/probe-slug E + x14 HEAD RED → GREEN light+dark · also A2-VA-X-14	The 160px field truncates both the placeholder and every real slug
UIA-V-248	MEDIUM	dock-slug-edit-layer	CONSUMER	CURED 6bd9ff79	W12U-evidence/s/probe-slug A/B (role=alert) HEAD RED → GREEN light+dark	Dead error state: slugError is written in six places but never rendered, so typing your own slug silently does nothing
UIA-V-249	MEDIUM	dock-slug-edit-layer	CONSUMER	CURED 6bd9ff79	W12U-evidence/s/source: PaletteSlugBar deleted HEAD RED → GREEN light+dark	Two slug editors with copy-pasted logic: the dock layer and an orphaned PaletteSlugBar
UIA-V-250	MEDIUM	dock-slug-edit-layer	CONSUMER	CURED 6bd9ff79	W12U-evidence/s/probe-slug E (no Generate seat) HEAD RED → GREEN light+dark	A login layer carries a destructive 'Generate new slug' act, icon-only and weighted the same as Cancel
UIA-V-251	MEDIUM	dock-slug-edit-layer	GLASS+CONSUMER	CURED 6bd9ff79	W12U-evidence/s/probe-slug E HEAD RED → GREEN light+dark · glass half O-59 (relayed)	At 390 the layer's dock box overflows the viewport
UIA-V-252	MEDIUM	dock-slug-edit-layer	CONSUMER	HONEST-RED W12U-S1-CARRY → .m	branch now returns `migrating` (6bd9ff79); the dialog capture is still unmade	The migrate-dialog branch of onSlugSwitch (saved palettes > 0) was not captured
UIA-V-254	MEDIUM	dock-mobile-menu	GLASS+CONSUMER	CURED 21aeff08	W12U-evidence/s/probe-theme-row HEAD RED → GREEN light+dark · glass half O-59 (relayed)	Theme row is a plain menuitem with a static 'Dark mode' label. State shows only through a sun/moon glyph and is not announced
UIA-V-255	MEDIUM	dock-mobile-menu	CONSUMER	HONEST-RED W12U-S1-CARRY → .m	open at HEAD; not cured in .s1 (routed by class)	The identity verdict widens the open menu from 215 to 270px and slides it to x=4, 4px from the viewport edge. The slug text wraps mid-word
UIA-V-256	MEDIUM	dock-mobile-menu	CONSUMER	HONEST-RED W12U-S1-CARRY → .k	open at HEAD; not cured in .s1 (routed by class)	'Copy slug' gives no feedback, while 'Share color' two rows below confirms with 'Copied!'. The same act has two idioms
UIA-V-257	MEDIUM	dock-mobile-menu	CONSUMER	HONEST-RED W12U-S1-CARRY → .k	open at HEAD; not cured in .s1 (routed by class)	Clutter: 9 rows in 3 unlabeled clusters. Two GitHub links, two 'regenerate' entry points, and Switch account reuses the Login icon
UIA-V-258	MEDIUM	dock-mobile-menu	CONSUMER	DEDUPE A2-VA-L1-7 → .k	@mbabb header	The @mbabb attribution header is a hand-rolled div with a nested anchor, so it is keyboard-inert (ESC-d-3 class)
UIA-V-260	MEDIUM	dock-profile-menu	CONSUMER	HONEST-RED W12U-S1-CARRY → .h	open at HEAD; not cured in .s1 (routed by class)	The identity verdict is stale, repeats the slug, wraps mid-slug, and collapses during pending (the menu jumps 292→234→292px)
UIA-V-262	MEDIUM	dock-profile-menu	GLASS+CONSUMER	DEDUPE A2-VA-L3-6 → HELD for glass §11 (.h)	row text outranks identity header at 390 · glass half O-59 (relayed)	Menu type voice: sans rows under a Fraunces dock and a mono trigger; at 390 the rows (21px) outrank the identity header (14px)
UIA-V-263	MEDIUM	dock-profile-menu	GLASS+CONSUMER	HONEST-RED W12U-S1-CARRY → .m	open at HEAD; not cured in .s1 (routed by class) · glass half O-59 (relayed)	After a slug-edit submit, focus lands on the DockLayer container and paints a rectangular UA blue ring inside the stadium dock
UIA-V-264	MEDIUM	dock-profile-menu	CONSUMER	HONEST-RED W12U-S1-CARRY → .k	open at HEAD; not cured in .s1 (routed by class)	The desktop and mobile identity twins diverge: gold admin on desktop, muted admin on mobile, and a separator only on desktop
UIA-V-266	MEDIUM	dock-profile-menu	CONSUMER	HONEST-RED W12U-S1-CARRY → .k	open at HEAD; not cured in .s1 (routed by class)	The app's own design doc canonizes the stadium slug-pill
UIA-V-267	MEDIUM	dock-mbabb-menu	CONSUMER	HONEST-RED W12U-S1-CARRY → .k	open at HEAD; not cured in .s1 (routed by class)	Menu typography is split three ways: per-row text-small overrides the menu's own font and size tokens, and the content's font-display class does nothing
UIA-V-268	MEDIUM	dock-mbabb-menu	CONSUMER	CURED 21aeff08	W12U-evidence/s/probe-theme-row HEAD RED → GREEN light+dark	Dark mode row is a plain command with a static label and no checked state; its icon is mis-sized and pushes the label off the text column
UIA-V-269	MEDIUM	dock-mbabb-menu	CONSUMER	DEDUPE A2-VA-L1-7 → .k	@mbabb header	Header block repeats the trigger label, adds a second GitHub destination, and its link is outside the menu's keyboard reach
UIA-V-270	MEDIUM	dock-mbabb-menu	CONSUMER	DEDUPE A2-VA-L1-7 → .k	@mbabb twins	The @mbabb block is duplicated by hand across the desktop and mobile twins, so each bug ships twice
UIA-V-281	MEDIUM	palette-scene-actions	CONSUMER	HONEST-RED W12U-S1-CARRY → .h	open at HEAD; not cured in .s1 (routed by class)	Publish is offered as ready while the app already reports the backend offline
UIA-V-282	MEDIUM	palette-scene-actions	CONSUMER	HONEST-RED W12U-S1-CARRY → .h	open at HEAD; not cured in .s1 (routed by class)	Selected palette has no visual selection mark
UIA-V-283	MEDIUM	palette-scene-actions	CONSUMER	DEDUPE A2-VA-L2-10 → .m (owner ruling T-31 first)	dock scrolls away on phones	On phones the selected palette is never named, and the dock scrolls away
UIA-V-284	MEDIUM	palette-scene-actions	CONSUMER	HONEST-RED W12U-S1-CARRY → .k	open at HEAD; not cured in .s1 (routed by class)	Verdict rail is a hand-rolled chip with hard-coded colours and a code font
UIA-V-285	MEDIUM	palette-scene-actions	CONSUMER	HONEST-RED W12U-S1-CARRY → .h	open at HEAD; not cured in .s1 (routed by class)	Version history drawer has no empty or error state: a failed load reads as '0 versions'
UIA-V-286	MEDIUM	palette-scene-actions	CONSUMER	HONEST-RED W12U-S1-CARRY → .h	open at HEAD; not cured in .s1 (routed by class)	data-selected is bound to expansion, not selection
